Node	Cluster	Color	Origin
TRIM55	4	#00FF00FF	RWR Added
TRIM63	4	#00FF00FF	Disease Gene
KY	4	#00FF00FF	Disease Gene
MB	4	#00FF00FF	Disease Gene
UNC45B	6	#CC33FFFF	Disease Gene
MLIP	6	#CC33FFFF	Disease Gene
CAV3	6	#CC33FFFF	Disease Gene
MYH7	6	#CC33FFFF	RWR Added
DES	6	#CC33FFFF	Disease Gene
TRIM54	6	#CC33FFFF	Disease Gene
TCAP	6	#CC33FFFF	RWR Added
TTN	6	#CC33FFFF	Disease Gene
LDB3	6	#CC33FFFF	Disease Gene
TNNC1	6	#CC33FFFF	RWR Added
ACTN2	6	#CC33FFFF	RWR Added
MYPN	6	#CC33FFFF	RWR Added
CRYAB	5	#6699FFFF	Disease Gene
MYOT	5	#6699FFFF	Disease Gene
FLNC	5	#6699FFFF	Disease Gene
ATP2A1	5	#6699FFFF	RWR Added
CASQ1	5	#6699FFFF	Disease Gene
ACTA1	5	#6699FFFF	RWR Added
RYR1	5	#6699FFFF	Disease Gene
CACNA1H	2	#FF9900FF	Disease Gene
MSTN	2	#FF9900FF	Disease Gene
BAG3	2	#FF9900FF	Disease Gene
FHL1	2	#FF9900FF	Disease Gene
LMNA	2	#FF9900FF	RWR Added
DNAJB4	2	#FF9900FF	Disease Gene
GIPC1	2	#FF9900FF	Disease Gene
HRAS	2	#FF9900FF	Disease Gene
LRP12	2	#FF9900FF	Disease Gene
ACVR1	2	#FF9900FF	Disease Gene
MYL12A	2	#FF9900FF	RWR Added
LAMP2	2	#FF9900FF	Disease Gene
PABPN1	2	#FF9900FF	Disease Gene
TRIM32	2	#FF9900FF	Disease Gene
SLC25A4	3	#FFCC00FF	RWR Added
ENO3	3	#FFCC00FF	RWR Added
RILPL1	3	#FFCC00FF	Disease Gene
SVIL	3	#FFCC00FF	Disease Gene
FILIP1	3	#FFCC00FF	Disease Gene
VMA21	1	#FF0000FF	Disease Gene
SELENON	1	#FF0000FF	Disease Gene
ORAI1	1	#FF0000FF	Disease Gene
PLEC	1	#FF0000FF	Disease Gene
STIM1	1	#FF0000FF	Disease Gene
VCP	1	#FF0000FF	Disease Gene
HNRNPA1	1	#FF0000FF	Disease Gene
ZC4H2	1	#FF0000FF	Disease Gene
PYROXD1	1	#FF0000FF	Disease Gene
HNRNPA2B1	1	#FF0000FF	Disease Gene
MICU1	1	#FF0000FF	Disease Gene
RNF123	1	#FF0000FF	RWR Added
ISCU	1	#FF0000FF	Disease Gene
CLN3	1	#FF0000FF	Disease Gene
MCOLN1	1	#FF0000FF	Disease Gene
