Node	Cluster	Color	Origin
ANKRD1	6	#CC33FFFF	RWR Added
CSRP3	6	#CC33FFFF	RWR Added
TCAP	6	#CC33FFFF	RWR Added
LDB3	6	#CC33FFFF	Disease Gene
HSPB7	6	#CC33FFFF	RWR Added
SMYD1	6	#CC33FFFF	RWR Added
SMPX	6	#CC33FFFF	Disease Gene
ACTC1	6	#CC33FFFF	RWR Added
MYPN	6	#CC33FFFF	RWR Added
TTN	6	#CC33FFFF	Disease Gene
SCN5A	6	#CC33FFFF	RWR Added
MYOZ2	6	#CC33FFFF	RWR Added
SRL	6	#CC33FFFF	RWR Added
TRIM54	6	#CC33FFFF	RWR Added
TNNC1	6	#CC33FFFF	RWR Added
ACTN2	6	#CC33FFFF	Disease Gene
TRIM55	3	#FFCC00FF	RWR Added
TRIM63	3	#FFCC00FF	RWR Added
TRDN	3	#FFCC00FF	RWR Added
CKM	3	#FFCC00FF	RWR Added
MB	3	#FFCC00FF	RWR Added
SGCG	3	#FFCC00FF	RWR Added
MYOM2	3	#FFCC00FF	RWR Added
CAV3	3	#FFCC00FF	Disease Gene
HSPB3	3	#FFCC00FF	RWR Added
EEF1A2	3	#FFCC00FF	RWR Added
CKMT2	3	#FFCC00FF	RWR Added
ENO3	3	#FFCC00FF	RWR Added
PYGM	3	#FFCC00FF	RWR Added
CASQ1	7	#99991EFF	RWR Added
NRAP	7	#99991EFF	RWR Added
XIRP2	7	#99991EFF	RWR Added
MYBPC1	7	#99991EFF	RWR Added
XIRP1	7	#99991EFF	RWR Added
CACNA1S	7	#99991EFF	RWR Added
TNNC2	7	#99991EFF	RWR Added
TNNI1	7	#99991EFF	RWR Added
MYOZ1	7	#99991EFF	RWR Added
MYH2	7	#99991EFF	RWR Added
MYOT	5	#6699FFFF	Disease Gene
DES	5	#6699FFFF	RWR Added
MYH7	5	#6699FFFF	Disease Gene
CRYAB	5	#6699FFFF	RWR Added
FLNC	5	#6699FFFF	Disease Gene
ACTA1	5	#6699FFFF	RWR Added
RYR1	5	#6699FFFF	RWR Added
NEB	5	#6699FFFF	Disease Gene
TNNT1	5	#6699FFFF	RWR Added
ALPK3	5	#6699FFFF	RWR Added
MYO18B	5	#6699FFFF	RWR Added
SPINK7	1	#FF0000FF	RWR Added
PTGIR	1	#FF0000FF	RWR Added
EGFR	1	#FF0000FF	RWR Added
PLXNB1	1	#FF0000FF	RWR Added
MATR3	1	#FF0000FF	Disease Gene
SQSTM1	1	#FF0000FF	Disease Gene
VCP	1	#FF0000FF	Disease Gene
ILVBL	1	#FF0000FF	RWR Added
ACSS2	1	#FF0000FF	RWR Added
YWHAZ	1	#FF0000FF	RWR Added
ZNF652	1	#FF0000FF	RWR Added
HNRNPL	1	#FF0000FF	RWR Added
GABPA	1	#FF0000FF	RWR Added
KLHL9	1	#FF0000FF	Disease Gene
GNE	1	#FF0000FF	Disease Gene
TIA1	1	#FF0000FF	Disease Gene
ADSSL1	1	#FF0000FF	Disease Gene
LINC01587	1	#FF0000FF	RWR Added
DNAJB6	1	#FF0000FF	Disease Gene
MYOM1	4	#00FF00FF	RWR Added
ANO5	4	#00FF00FF	Disease Gene
PKIA	4	#00FF00FF	RWR Added
UNC45B	4	#00FF00FF	RWR Added
CMYA5	4	#00FF00FF	RWR Added
KLHL41	4	#00FF00FF	RWR Added
AKAP6	4	#00FF00FF	RWR Added
ATP2A2	4	#00FF00FF	RWR Added
MYH14	4	#00FF00FF	RWR Added
HSPB8	4	#00FF00FF	Disease Gene
PLIN4	2	#FF9900FF	Disease Gene
CFL2	2	#FF9900FF	RWR Added
TPM2	2	#FF9900FF	RWR Added
TPM3	2	#FF9900FF	RWR Added
DNM2	2	#FF9900FF	Disease Gene
SGCA	2	#FF9900FF	RWR Added
DYSF	2	#FF9900FF	Disease Gene
BAG3	2	#FF9900FF	RWR Added
FHL1	2	#FF9900FF	RWR Added
DMD	2	#FF9900FF	RWR Added
