Node	Cluster	Color	Origin
CAV3	8	#999999FF	Disease Gene
MYH6	8	#999999FF	Disease Gene
TCAP	8	#999999FF	Disease Gene
TNNI3	8	#999999FF	Disease Gene
MYL2	8	#999999FF	Disease Gene
MYBPC3	8	#999999FF	Disease Gene
CSRP3	8	#999999FF	Disease Gene
LMOD2	8	#999999FF	Disease Gene
MYOZ2	6	#CC33FFFF	Disease Gene
SCN5A	6	#CC33FFFF	Disease Gene
TRDN	6	#CC33FFFF	Disease Gene
TECRL	6	#CC33FFFF	Disease Gene
HCN4	6	#CC33FFFF	Disease Gene
ACTC1	6	#CC33FFFF	Disease Gene
ACTN2	6	#CC33FFFF	Disease Gene
RPL3L	6	#CC33FFFF	Disease Gene
TNNT2	6	#CC33FFFF	Disease Gene
TNNC1	6	#CC33FFFF	Disease Gene
MYH7	6	#CC33FFFF	Disease Gene
RBM20	6	#CC33FFFF	Disease Gene
TTN	6	#CC33FFFF	Disease Gene
ANKRD1	6	#CC33FFFF	Disease Gene
MYPN	6	#CC33FFFF	Disease Gene
AARS2	3	#FFCC00FF	Disease Gene
MRPL3	3	#FFCC00FF	Disease Gene
MRPL44	3	#FFCC00FF	Disease Gene
MTO1	3	#FFCC00FF	Disease Gene
COX15	3	#FFCC00FF	Disease Gene
SCO2	3	#FFCC00FF	Disease Gene
NDUFAF1	3	#FFCC00FF	Disease Gene
TSFM	3	#FFCC00FF	Disease Gene
FKTN	3	#FFCC00FF	Disease Gene
TMEM168	3	#FFCC00FF	Disease Gene
GAA	3	#FFCC00FF	Disease Gene
SDHA	3	#FFCC00FF	Disease Gene
GET3	3	#FFCC00FF	Disease Gene
PPCS	3	#FFCC00FF	Disease Gene
DOLK	3	#FFCC00FF	Disease Gene
KCNQ1	7	#99991EFF	Disease Gene
KCNE1	7	#99991EFF	Disease Gene
DSC2	7	#99991EFF	Disease Gene
KCNJ5	7	#99991EFF	Disease Gene
CACNA1C	4	#00FF00FF	Disease Gene
CACNB2	4	#00FF00FF	Disease Gene
CASQ2	4	#00FF00FF	Disease Gene
KCNA5	4	#00FF00FF	Disease Gene
RYR2	4	#00FF00FF	Disease Gene
KCNH2	4	#00FF00FF	Disease Gene
SCN2B	4	#00FF00FF	Disease Gene
SCN3B	4	#00FF00FF	Disease Gene
EYA4	4	#00FF00FF	Disease Gene
SCN4B	4	#00FF00FF	Disease Gene
NPPA	4	#00FF00FF	Disease Gene
CALM3	4	#00FF00FF	Disease Gene
TMEM43	4	#00FF00FF	Disease Gene
CALM1	4	#00FF00FF	Disease Gene
CALM2	4	#00FF00FF	Disease Gene
AKAP9	4	#00FF00FF	Disease Gene
NUP155	4	#00FF00FF	Disease Gene
KCNE2	4	#00FF00FF	Disease Gene
SNTA1	4	#00FF00FF	Disease Gene
PRKAG2	4	#00FF00FF	Disease Gene
GPD1L	4	#00FF00FF	Disease Gene
SCN1B	1	#FF0000FF	Disease Gene
ABCC9	1	#FF0000FF	Disease Gene
KCNJ2	1	#FF0000FF	Disease Gene
TGFB3	1	#FF0000FF	Disease Gene
GJA5	1	#FF0000FF	Disease Gene
PRDM16	1	#FF0000FF	Disease Gene
FLNA	1	#FF0000FF	Disease Gene
KIF20A	1	#FF0000FF	Disease Gene
KCNE3	1	#FF0000FF	Disease Gene
KLHL24	1	#FF0000FF	Disease Gene
RAF1	1	#FF0000FF	Disease Gene
BAG5	1	#FF0000FF	Disease Gene
VEZF1	1	#FF0000FF	Disease Gene
MIB1	1	#FF0000FF	Disease Gene
KCND3	5	#6699FFFF	Disease Gene
CDH2	5	#6699FFFF	Disease Gene
CTNNA3	5	#6699FFFF	Disease Gene
ANK2	5	#6699FFFF	Disease Gene
DSG2	5	#6699FFFF	Disease Gene
PKP2	5	#6699FFFF	Disease Gene
DTNA	5	#6699FFFF	Disease Gene
PLN	5	#6699FFFF	Disease Gene
DMD	5	#6699FFFF	Disease Gene
CAP2	5	#6699FFFF	Disease Gene
FHOD3	5	#6699FFFF	Disease Gene
DSP	5	#6699FFFF	Disease Gene
NEB	2	#FF9900FF	RWR Added
NEXN	2	#FF9900FF	Disease Gene
SGCD	2	#FF9900FF	Disease Gene
TPM1	2	#FF9900FF	Disease Gene
LDB3	2	#FF9900FF	Disease Gene
JPH2	2	#FF9900FF	Disease Gene
FLNC	2	#FF9900FF	Disease Gene
DES	2	#FF9900FF	Disease Gene
JUP	2	#FF9900FF	Disease Gene
MYL3	2	#FF9900FF	Disease Gene
MYL4	2	#FF9900FF	Disease Gene
HACD1	2	#FF9900FF	Disease Gene
SYNE1	2	#FF9900FF	Disease Gene
VCL	2	#FF9900FF	Disease Gene
ILK	2	#FF9900FF	Disease Gene
TAZ	2	#FF9900FF	Disease Gene
TMPO	2	#FF9900FF	Disease Gene
GATAD1	2	#FF9900FF	Disease Gene
LMNA	2	#FF9900FF	Disease Gene
ALPK3	2	#FF9900FF	Disease Gene
BAG3	2	#FF9900FF	Disease Gene
PSEN1	2	#FF9900FF	Disease Gene
MYLK2	2	#FF9900FF	Disease Gene
CALR3	2	#FF9900FF	Disease Gene
LAMA4	2	#FF9900FF	Disease Gene
PSEN2	2	#FF9900FF	Disease Gene
CRYAB	2	#FF9900FF	Disease Gene
